brand,model,year,price,mileage,exterior_color,interior_color,fuel_type,engine,transmission,city_mpg,hwy_mpg
Ford,Fusion Titanium,2016,16995,18090,Brown,,Gasoline,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,Auto,22,33
Ford,Fusion Energi Titanium,2013,9499,104078,Oxford White,Charcoal Black,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,40,36
Ford,Fusion Hybrid SE,2017,12000,73033,White,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Taurus SEL,2017,18433,41137,White Platinum Metallic Tri-Coat,Dune,Gasoline,Regular Unleaded V-6 3.5 L/213,6-Speed Automatic w/OD,17,24
Ford,Fusion Hybrid SE,2016,8995,116396,Blue,Tan,Gasoline,4 Cylinder Engine,Automatic,44,41
Ford,Fusion Hybrid SE,2018,13117,38760,Ruby Red Metallic Tinted Clearcoat,Medium Soft Ceramic,Hybrid,I4 Hybrid,E-CVT Automatic,43,41
Ford,Fusion SE,2014,10534,102561,Oxford White,Charcoal Black,Gasoline,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,,22,34
Ford,Fusion SE,2016,9607,71425,Black,Tan,Gasoline,I4 2.5L Natural Aspiration,Automatic 6-Speed,22,31
Ford,Fusion SE,2013,8650,89501,Sterling Gray Metallic,Charcoal Black,Gasoline,1.6L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,34
Ford,Fusion SE,2015,12777,38227,Black,Charcoal Black,Gasoline,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,Automatic,22,31
Ford,Fusion SE,2013,9995,74114,Black,Black,Gasoline,4 Cylinder Engine,Automatic,22,34
Ford,Taurus SHO,2016,27495,16900,Blue Jeans,Charcoal Black/Mayan Gray,Gasoline,Twin Turbo Premium Unleaded V-6 3.5 L/213,6-Speed Automatic w/OD,16,24
Ford,Fusion SE,2014,9499,104985,White Platinum Tc Met,Charcoal Black,Gasoline,1.5L L4 DOHC 16V,5-Speed Automatic,22,34
Ford,Fusion Hybrid SE,2018,14272,30052,Oxford White,,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,43,41
Ford,Fusion Titanium,2018,17400,38746,Oxford White,Ebony,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,21,31
Ford,Fusion SE,2014,10894,83328,White Platinum Tri-Coat Metallic,Dune,Gasoline,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22,34
Ford,Fusion S,2015,12991,43332,Tectonic,Dune,Gasoline,2.5L iVCT,Automatic,22,34
Ford,Fusion SE,2013,7500,98000,Red,GREY,Gasoline,2.5L 4 Cylinder Engine,AUTOMATIC,22,34
Ford,Fusion SE,2017,16294,14220,Shadow Black,Ebony,Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,21,32
Ford,Fiesta SE,2011,5486,102308,Ingot Silver Metallic,,Gasoline,1.6L I4 16V MPFI DOHC,6-Speed Automatic with Auto-Shift,28,37
Ford,Fusion S,2016,12853,20757,Magnetic,Earth,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,34
Ford,Taurus Limited,2018,24998,9113,Burgundy,Black,Gasoline,3.5 L,Automatic,18,27
Ford,Fusion SE,2016,12039,39161,Ingot Silver,Ebony,Gasoline,2.5L I4 16V MPFI DOHC,6-Speed Automatic,22,31
